id,fill,category,type,brand,bottle,age,abv,proof,cask,distillery,corp_owner,origin,char_level,mash_bill,tasting_notes
0024,plenty,Scotch,Single Malt Scotch,Loch Lomond,14 yr,14,46%,92°,Refill American Oak (3 cask types); Finished: Limousin French Oak,Loch Lomond Distillery,Loch Lomond Group (Hillhouse Capital),Scotland (Highland),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cooked apples, like a sherry finish but it's not, hot cocoa powder,"", ""palate"": ""Cooked apples but spicier, sweet but spicy, metalic in a good way, hint of smoke way after"", ""finish"": ""Short to medium""}"
0025,average,Scotch,Single Malt Scotch,Oban,14 yr,14,43%,86°,Ex-bourbon,Oban Distillery,Diageo,Scotland (Highland),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0026,average,Scotch,Single Malt Scotch,Port Charlotte,10 yr,10,50%,100°,"Ex-bourbon & wine casks (heavily peated, 40 ppm)",Bruichladdich Distillery,Rémy Cointreau,Scotland (Islay),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0027,average,Scotch,Single Malt Scotch,Talisker,10 yr,10,45.8%,91.6°,Ex-bourbon,Talisker Distillery,Diageo,Scotland (Island),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0028,extremely-low,Scotch,Single Malt Scotch,The Balvenie,DoubleWood 12 yr,12,43%,86°,Ex-bourbon; Finished: Oloroso sherry (DoubleWood),Balvenie Distillery,William Grant & Sons,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0029,low,Scotch,Single Malt Scotch,The Dalmore,12 yr,12,40%,80°,Ex-bourbon & Matusalem Oloroso sherry,Dalmore Distillery,Whyte & Mackay (Emperador),Scotland (Highland),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0030,low,Scotch,Single Malt Scotch,The Glenlivet,12 yr,12,40%,80°,Ex-bourbon,Glenlivet Distillery,Pernod Ricard,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0031,low,Scotch,Single Malt Scotch,The Glenlivet,12 yr Illicit Still,12,48%,96°,Ex-bourbon (replicates illicit still style),Glenlivet Distillery,Pernod Ricard,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0032,average,Scotch,Single Malt Scotch,The Glenlivet,Caribbean Reserve,(8-12),40%,80°,Ex-bourbon; Finished: Caribbean rum casks,Glenlivet Distillery,Pernod Ricard,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0033,plenty,Scotch,Single Malt Scotch,The Glenlivet,Founder's Reserve,(8-12),40%,80°,Ex-bourbon,Glenlivet Distillery,Pernod Ricard,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Orange peanuts candy all day, soft lumber, hints of leather, tropical fruit"", ""palate"": ""Hints of hi-chew and smooth fruit chew candies slowly transitions into a beer after taste"", ""finish"": ""Short to medium""}"
0034,average,Scotch,Blended Scotch,Trader Joe's,Blended Scotch Whisky,(5-8),40%,80°,"Ex-bourbon & sherry (blended, undisclosed)",Contract / Undisclosed,Trader Joe's,Scotland,N/A,"{""corn"": ""(40)"", ""barley"": """", ""maltedBarley"": ""(60)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0035,average,Scotch,Single Malt Scotch,Trader Joe's,Highland Single Malt,(8-12),40%,80°,Ex-bourbon (undisclosed distillery),Contract / Undisclosed,Trader Joe's,Scotland (Highland),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0036,average,Scotch,Single Malt Scotch,Trader Joe's,Highland Single Malt 10 yr,10,40%,80°,Ex-bourbon (undisclosed distillery),Contract / Undisclosed,Trader Joe's,Scotland (Highland),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0037,average,Scotch,Single Malt Scotch,Trader Joe's,Speyside Single Malt,8,40%,80°,Ex-bourbon (undisclosed Speyside distillery),Contract / Undisclosed,Trader Joe's,Scotland (Speyside),N/A,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0038,plenty,Irish,Blended Irish,Bushmills,Prohibition Recipe,(4-8),46%,92°,"Ex-bourbon, sherry & rum (triple cask)",Old Bushmills Distillery,Becle (Cuervo),Ireland (County Antrim),N/A,"{""corn"": ""(40)"", ""barley"": """", ""maltedBarley"": ""(60)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0039,average,Irish,Blended Irish,Jameson,Irish Whiskey,(4-7),40%,80°,"Ex-bourbon, sherry & new oak (triple distilled)",Midleton Distillery,Pernod Ricard,Ireland (County Cork),N/A,"{""corn"": ""(30)"", ""barley"": ""(20)"", ""maltedBarley"": ""(50)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Honey, pear, flaky pastry, vanilla cream,"", ""palate"": ""Light, creamy sweet, vanilla,"", ""finish"": ""Medium""}"
0040,plenty,Irish,Blended Irish,Power's,Gold Label,(4-7),43.2%,86.4°,Ex-bourbon & sherry (single pot still blend),Midleton Distillery,Pernod Ricard,Ireland (County Cork),N/A,"{""corn"": ""(20)"", ""barley"": ""(30)"", ""maltedBarley"": ""(50)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0041,plenty,Irish,Single Pot Still Irish,Redbreast,12 yr,12,40%,80°,Ex-bourbon & Oloroso sherry (single pot still),Midleton Distillery,Pernod Ricard,Ireland (County Cork),N/A,"{""corn"": """", ""barley"": ""(50)"", ""maltedBarley"": ""(50)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Sweet red fruit, peach cobbler, cream soda"", ""palate"": ""Light and creamy with subtle spice (nutmeg?), french vanilla ice cream melting over warm pie"", ""finish"": ""Medium to long""}"
0042,low,Irish,Blended Irish,Slane,Irish Whiskey,(4-8),40%,80°,"Triple cask: virgin, seasoned & ex-bourbon",Slane Distillery,Brown-Forman,Ireland (County Meath),N/A,"{""corn"": ""(30)"", ""barley"": ""(20)"", ""maltedBarley"": ""(50)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0043,average,Irish,Single Pot Still Irish,Spot Whiskey,Green Spot,(7-10),40%,80°,"Ex-bourbon, sherry & new oak (single pot still)",Midleton Distillery,Pernod Ricard,Ireland (County Cork),N/A,"{""corn"": """", ""barley"": ""(50)"", ""maltedBarley"": ""(50)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0044,low,Irish,Single Grain Irish,Teeling,Single Grain,(4-8),46%,92°,Cabernet Sauvignon wine casks (column still grain),Teeling Distillery,Bacardi,Ireland (Dublin),N/A,"{""corn"": ""95"", ""barley"": """", ""maltedBarley"": ""5"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0045,average,Irish,Blended Irish,Teeling,Small Batch,(4-8),46%,92°,"Ex-rum, ex-Calvados & ex-bourbon (blended)",Teeling Distillery,Bacardi,Ireland (Dublin),N/A,"{""corn"": ""(30)"", ""barley"": ""(20)"", ""maltedBarley"": ""(50)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0046,plenty,Irish,Blended Irish,Trader Joe's,Special Reserve,(4-7),40%,80°,"Ex-bourbon & sherry (blended, undisclosed)",Contract / Undisclosed,Trader Joe's,Ireland,N/A,"{""corn"": ""(30)"", ""barley"": ""(20)"", ""maltedBarley"": ""(50)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Butterscotch, caramel, mild rubbing alcohol, peanut brittle"", ""palate"": ""Caramel, toffee, black pepper"", ""finish"": ""Medium""}"
0047,low,Irish,Blended Irish,Tullamore D.E.W.,Irish Whiskey,(4-8),40%,80°,"Ex-bourbon, sherry & new oak (triple cask)",Tullamore Distillery,William Grant & Sons,Ireland (County Offaly),N/A,"{""corn"": ""(30)"", ""barley"": ""(20)"", ""maltedBarley"": ""(50)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Caramel, buttered toast, grape jelly,"", ""palate"": ""Fruit stripes gum, grilled fruit, nutmeg"", ""finish"": ""Medium""}"
0048,low,Irish,Blended Irish,Tullamore D.E.W.,Special Reserve 12 yr,12,40%,80°,Ex-bourbon & sherry (triple distilled),Tullamore Distillery,William Grant & Sons,Ireland (County Offaly),N/A,"{""corn"": ""(30)"", ""barley"": ""(20)"", ""maltedBarley"": ""(50)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0049,average,Japanese,Japanese Grain,Nikka,Coffey Grain Whisky,(5-12),,,Ex-bourbon & sherry (Coffey column still),Miyagikyo / Yoichi Distillery,Asahi Group Holdings,Japan,N/A,"{""corn"": ""95"", ""barley"": """", ""maltedBarley"": ""5"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0050,plenty,American Single Malt,American Single Malt,Copper Works,MaltSmith,3,50%,100°,Ex-bourbon & new oak (5-malt bill),Copper Works Distillery,Independent,Washington,(#3),"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Grapefruit, apricot, sweet bread, floral"", ""palate"": ""Soft, bright fruit into fruity christmas spice or jam"", ""finish"": """"}"
0051,low,American Single Malt,American Single Malt,Stranahan's,Original,6-9,47%,94°,Blend: multiple Colorado distilleries,Stranahan's Distillery,Proximo Spirits,Colorado,(#3),"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0052,low,American Single Malt,American Single Malt,Virginia Distillery Co.,Blue Ridge Select,(3-5),46.5%,93°,Ex-bourbon & STR casks; Shenandoah Valley barley,Virginia Distillery Co.,Independent,Virginia,(#3),"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0053,low,American Single Malt,Blended American,Watchpost,American Blended Whiskey,8,42.5%,85°,Ex-bourbon & new oak (sourced blend),Watchpost Distillery,Independent,"Kentucky, Indiana",(#3),"{""corn"": """", ""barley"": """", ""maltedBarley"": ""(100)"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0054,low,American Single Malt,American Single Malt,Westland,Flagship,(3-5),46%,92°,"New oak (~65%), ex-bourbon & Oloroso sherry; 5-malt bill w/ peated malt",Westland Distillery,Rémy Cointreau,Washington,(#3),"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0055,plenty,American Single Malt,American Single Malt,Westland,Hand-Filled 10741,(4-6),63%,126°,"Single cask, hand-filled at distillery",Westland Distillery,Rémy Cointreau,Washington,(#3),"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0056,average,American Single Malt,American Single Malt,Westward,Single Malt Whiskey,(2-5),45%,90°,New oak & ex-bourbon (Oregon barley),House Spirits Distillery,Diageo (Distill Ventures),Oregon,(#3),"{""corn"": """", ""barley"": """", ""maltedBarley"": ""100"", ""rye"": """", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0057,average,American Rye,Blended Rye,Barrel,Seagrass,(3-10),60.1%,120.2°,"Finished: Martinique rum, Madeira & apricot brandy",Various (Sourced & Blended),Independent,"Kentucky, Indiana, Tennessee, Canada",(#3),"{""corn"": ""(30)"", ""barley"": """", ""maltedBarley"": ""(13)"", ""rye"": ""(57)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0058,plenty,American Rye,Straight Rye,Colonel E.H. Taylor,Straight Rye (Bottled-in-Bond),(9),50%,100°,"BT Rye Mash Bill (100% rye + malted barley, no corn)",Buffalo Trace Distillery,Sazerac,Kentucky,(#4),"{""corn"": """", ""barley"": """", ""maltedBarley"": ""(35)"", ""rye"": ""(65)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0059,plenty,American Rye,Straight Rye,Elijah Craig,Straight Rye,(4-6),47%,94°,,Heaven Hill Distillery,Heaven Hill,Kentucky,#3,"{""corn"": ""35"", ""barley"": """", ""maltedBarley"": ""14"", ""rye"": ""51"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Grass, mint, root beer,"", ""palate"": ""Light, mild, bright followed by mild spice and spearmint. Root beer"", ""finish"": ""Medium""}"
0060,average,American Rye,Straight Rye,Elijah Craig,Toasted Rye,(4-6),47%,94°,Finished: toasted new oak barrels,Heaven Hill Distillery,Heaven Hill,Kentucky,#3,"{""corn"": ""35"", ""barley"": """", ""maltedBarley"": ""14"", ""rye"": ""51"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0061,average,American Rye,Straight Rye (Tennessee Rye),Jack Daniel's,Single Barrel,(4-6),48.5%,97°,Lincoln County Process charcoal filtered (maple),Jack Daniel Distillery,Brown-Forman,Tennessee,#3,"{""corn"": ""18"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""70"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cherry sour straws, toasted marshmallow, burnt caramel,"", ""palate"": ""Creamy chocolate covered cherry, rye spice finish"", ""finish"": ""Long""}"
0062,low,American Rye,Straight Rye (Tennessee Rye),Jack Daniel's,Single Barrel Barrel Proof Rye,(5-7),64.9%,129.8°,Lincoln County Process charcoal filtered (maple),Jack Daniel Distillery,Brown-Forman,Tennessee,#3,"{""corn"": ""18"", ""barley"": """", ""maltedBarley"": ""12"", ""rye"": ""70"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0063,plenty,American Rye,Straight Rye,Knob Creek,Rye,7,50%,100°,,Jim Beam Distillery,Beam-Suntory,Kentucky,#4,"{""corn"": ""35"", ""barley"": """", ""maltedBarley"": ""14"", ""rye"": ""51"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Light grassy/mint, vanilla, marshmallow. Mild rye"", ""palate"": ""Sweet up front becomes more rye spice on the backend with mint"", ""finish"": ""Long""}"
0064,low,American Rye,Straight Rye,Michter's,Straight Rye,(4-6),42.4%,84.8°,Chill filtered,Michter's Distillery (Shively),Chatham Imports,Kentucky,#3,"{""corn"": ""(33)"", ""barley"": """", ""maltedBarley"": ""(14)"", ""rye"": ""(53)"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0065,average,American Rye,Straight Rye,New Riff,Straight Rye Bottled-in-Bond,4,50%,100°,,New Riff Distillery,Independent,Kentucky,#3,"{""corn"": """", ""barley"": """", ""maltedBarley"": """", ""rye"": ""95"", ""maltedRye"": ""5"", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
0066,plenty,American Rye,Straight Rye,Old Forester,Rye,(4-6),50%,100°,,Brown-Forman Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""15"", ""barley"": """", ""maltedBarley"": ""20"", ""rye"": ""64"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cherry cola, mint, grass, brown sugar, graham cracker. After a sip I get carpet"", ""palate"": ""Cherry cola and mint spice. Long finish"", ""finish"": """"}"
0067,plenty,American Rye,Straight Rye,Old Forester,Single Barrel Barrel Proof Rye,(4-6),65.2%,130.4°,,Brown-Forman Distillery,Brown-Forman,Kentucky,#4,"{""corn"": ""15"", ""barley"": """", ""maltedBarley"": ""20"", ""rye"": ""64"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": ""Cut grass, lemon, sandlewood soap, cinnamon"", ""palate"": ""Cherry, hot and spicy, lemongrass, vanilla"", ""finish"": ""Long""}"
0068,average,American Rye,Straight Rye,Penelope,Toasted Rye,6,50%,100°,Finished: heavy toast new oak (in-barrel),Various (Sourced),Independent,Indiana,#2,"{""corn"": """", ""barley"": """", ""maltedBarley"": ""5"", ""rye"": ""95"", ""maltedRye"": """", ""wheat"": """"}","{""nose"": """", ""palate"": """", ""finish"": """"}"
